1;36
2;84
3;78
4;66
5;36
6;54
7;84
8;42
9;84
10;60
11;30
12;78
13;42
14;42
15;36
16;36
17;36
18;84
19;54
20;42
21;36
22;66
23;48
24;54
25;42
26;78
27;42
28;84
29;42
30;78
31;60
32;60
33;78
34;60
35;60
36;90
37;72
38;30
39;42
40;60
41;42
42;42
43;42
44;66
45;90
46;54
47;66
48;72
49;66
50;48
51;42
52;42
53;90
54;54
55;36
56;66
57;54
58;78
59;36
60;60
61;60
62;66
63;90
64;72
65;66
66;30
67;30
68;78
69;60
70;30
71;72
72;36
73;72
74;84
75;84
76;90
77;36
78;36
79;66
80;54
81;66
82;42
83;90
84;36
85;54
86;78
87;60
88;48
89;42
90;72
91;90
92;54
93;60
94;66
95;30
96;66
97;36
98;72
99;78
100;42
101;84
102;48
103;60
104;90
105;54
106;66
107;42
108;72
109;30
110;60
111;60
112;54
113;48
114;72
115;72
116;66
117;66
118;78
119;60
120;60
121;48
122;54
123;66
124;36
125;66
126;78
127;60
128;54
129;54
130;30
131;84
132;66
133;66
134;54
135;60
136;30
137;54
138;60
139;60
140;36
141;78
142;54
143;72
144;84
145;78
146;30
147;66
148;84
149;78
150;60
151;90
152;36
153;48
154;66
155;66
156;78
157;54
158;78
159;72
160;36
161;36
162;48
163;54
164;54
165;66
166;54
167;84
168;72
169;66
170;30
171;48
172;48
173;66
174;84
175;54
176;72
177;78
178;48
179;60
180;72
181;90
182;90
183;78
184;66
185;90
186;36
187;36
188;60
189;36
190;30
191;54
192;84
193;66
194;42
195;42
196;48
197;72
198;60
199;72
200;42
201;30
202;90
203;60
204;54
205;48
206;42
207;72
208;66
209;30
210;42
211;78
212;72
213;42
214;36
215;48
216;42
217;54
218;36
219;30
220;36
221;90
222;78
223;48
224;78
225;60
226;84
227;30
228;36
229;84
230;84
231;72
232;84
233;42
234;72
235;36
236;48
237;78
238;72
239;42
240;84
241;42
242;42
243;72
244;72
245;84
246;54
247;36
248;84
249;90
250;78
251;42
252;72
253;54
254;66
255;36
256;78
257;48
258;42
259;48
260;84
261;36
262;72
263;78
264;66
265;60
266;54
267;72
268;42
269;48
270;42
271;78
272;60
273;48
274;72
275;78
276;36
277;54
278;42
279;42
280;78
281;36
282;48
283;48
284;36
285;30
286;84
287;36
288;36
289;60
290;54
291;42
292;66
293;36
294;78
295;84
296;78
297;42
298;54
299;60
300;30
301;78
302;90
303;78
304;84
305;54
306;54
307;60
308;48
309;42
310;54
311;84
312;36
313;66
314;72
315;60
316;78
317;54
318;78
319;54
320;54
321;78
322;30
323;60
324;72
325;60
326;42
327;30
328;60
329;54
330;36
331;84
332;60
333;66
334;72
335;78
336;84
337;42
338;60
339;90
340;36
341;60
342;54
343;36
344;84
345;54
346;30
347;90
348;84
349;30
350;30
351;36
352;54
353;36
354;48
355;30
356;54
357;90
358;72
359;90
360;78
361;42
362;54
363;30
364;72
365;90
366;72
367;90
368;42
369;54
370;84
371;66
372;84
373;54
374;60
375;78
376;66
377;36
378;36
379;48
380;84
381;84
382;78
383;54
384;78
385;30
386;42
387;78
388;84
389;30
390;60
391;54
392;84
393;60
394;54
395;84
396;36
397;72
398;54
399;84
400;42
401;36
402;84
403;48
404;48
405;90
406;42
407;36
408;48
409;84
410;78
411;84
412;36
413;84
414;90
415;42
416;54
417;42
418;30
419;36
420;54
421;60
422;78
423;66
424;48
425;66
426;60
427;60
428;60
429;90
430;84
431;54
432;48
433;90
434;30
435;54
436;78
437;36
438;36
439;42
440;54
441;36
442;60
443;48
444;30
445;78
446;30
447;78
448;72
449;78
450;84
451;42
452;72
453;54
454;60
455;78
456;48
457;60
458;66
459;66
460;48
461;36
462;78
463;72
464;54
465;72
466;42
467;66
468;54
469;84
470;30
471;78
472;66
473;54
474;84
475;30
476;42
477;36
478;66
479;90
480;72
481;90
482;60
483;30
484;54
485;30
486;42
487;66
488;60
489;84
490;30
491;36
492;66
493;48
494;66
495;60
496;90
497;84
498;66
499;78
500;36
